Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://www.squirrel.co.nz/media/3639/appletv_homescreen-blue.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit02,https://www.squirrel.co.nz/media/3629/the-reception.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit03,https://www.squirrel.co.nz/media/3630/the-workspace.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit04,https://www.squirrel.co.nz/media/3631/the-workspace-2.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit05,https://www.squirrel.co.nz/media/3644/microsoft_homescreen-orange.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit06,https://www.squirrel.co.nz/media/3632/the-staircase.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit07,https://www.squirrel.co.nz/media/3633/the-lounge-and-bar.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit08,https://www.squirrel.co.nz/media/3634/the-lounge-and-bar-2.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit09,https://www.squirrel.co.nz/media/3640/appletv_homescreen-charcoal.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit10,https://www.squirrel.co.nz/media/3635/the-boardroom.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit11,https://www.squirrel.co.nz/media/3636/the-kitchen.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit12,https://www.squirrel.co.nz/media/3644/microsoft_homescreen-orange.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit13,https://www.squirrel.co.nz/media/3637/the-project-space.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
Exhibit14,https://www.squirrel.co.nz/media/3638/the-meeting-rooms.png,0:01:00,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
